                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3062,                 2.4066,                 1.5764,                  1.306,                 4.6611,                 1.5291,                 0.6382,                0.58943,                0.61025,                0.34849,                 1.4216,                 1.5542,                 1.7318,                 1.4704,                 1.7008,                  1.759,              0.0033266,              0.0033266,              0.0033266
                      2,                 1.3477,                 1.5338,                 1.5363,                 1.4264,                 1.7522,                  1.544,                0.63095,                0.51623,                0.56059,                0.29569,                  1.518,                 1.5728,                 1.7975,                 1.5882,                 1.6972,                 1.8098,               0.006594,               0.006594,               0.006594
                      3,                 1.4741,                 1.6834,                 1.6428,                 1.5632,                 1.9446,                 1.6527,                0.41073,                0.41609,                0.37515,                0.18707,                 1.7366,                 2.1741,                 2.0683,                 1.7666,                 2.3862,                 2.0206,              0.0097954,              0.0097954,              0.0097954
                      4,                  1.531,                 1.7593,                 1.6703,                 1.6353,                 2.0285,                 1.6764,                0.63107,                0.60477,                0.61479,                 0.2996,                  1.676,                 1.4872,                 1.9438,                 1.7728,                  1.544,                 2.0085,               0.009703,               0.009703,               0.009703
                      5,                 1.4878,                 1.6634,                 1.6273,                 1.6029,                 1.9077,                 1.6476,                0.63669,                0.57081,                 0.5868,                 0.3064,                 1.5722,                 1.4629,                  1.813,                 1.6548,                  1.592,                 1.8591,               0.009703,               0.009703,               0.009703
                      6,                 1.4507,                 1.5845,                 1.6026,                 1.5476,                 1.8298,                 1.6177,                 0.6588,                0.60865,                0.61915,                 0.3294,                 1.5107,                 1.3914,                 1.7888,                 1.5956,                 1.4838,                 1.8206,               0.009604,               0.009604,               0.009604
                      7,                   1.42,                 1.5033,                 1.5795,                  1.534,                 1.7154,                  1.604,                0.66826,                0.63513,                0.65831,                0.35703,                 1.4518,                 1.2963,                 1.7161,                   1.54,                 1.3651,                 1.7563,               0.009505,               0.009505,               0.009505
                      8,                 1.3752,                 1.4537,                 1.5596,                 1.4914,                 1.6436,                 1.5733,                0.67713,                0.64096,                0.67963,                  0.383,                  1.434,                 1.2413,                  1.703,                  1.504,                 1.3655,                 1.7425,               0.009406,               0.009406,               0.009406
                      9,                 1.3558,                 1.4182,                 1.5375,                 1.4704,                 1.6042,                 1.5687,                0.73071,                0.68387,                0.72902,                0.41955,                 1.3752,                 1.1443,                 1.6719,                 1.4667,                 1.1834,                 1.7115,               0.009307,               0.009307,               0.009307
                     10,                 1.3324,                  1.376,                 1.5286,                 1.4466,                 1.5623,                 1.5543,                0.68809,                 0.6756,                0.69289,                0.39817,                 1.3535,                 1.1868,                  1.642,                 1.4538,                 1.2562,                 1.6864,               0.009208,               0.009208,               0.009208
                     11,                 1.3258,                 1.3592,                 1.5216,                 1.4306,                 1.5418,                 1.5378,                0.75945,                0.65013,                0.71644,                0.41682,                 1.3704,                 1.1592,                 1.6549,                 1.4534,                 1.2209,                 1.6925,               0.009109,               0.009109,               0.009109
                     12,                 1.3097,                 1.3312,                 1.5102,                 1.4132,                 1.4992,                 1.5272,                0.77087,                0.67803,                 0.7395,                   0.43,                 1.3661,                 1.0975,                 1.6417,                 1.4764,                 1.1269,                 1.6955,                0.00901,                0.00901,                0.00901
                     13,                 1.3093,                 1.3181,                 1.4997,                 1.4206,                 1.4787,                 1.5241,                0.75477,                0.66308,                0.73827,                0.43843,                 1.3428,                 1.1249,                 1.6388,                 1.4132,                  1.143,                 1.6702,               0.008911,               0.008911,               0.008911
                     14,                 1.2796,                 1.2701,                 1.4887,                 1.3841,                 1.4302,                   1.51,                0.76624,                0.70087,                0.75167,                0.44369,                 1.3398,                 1.0327,                 1.6368,                 1.4118,                  1.077,                 1.6628,               0.008812,               0.008812,               0.008812
                     15,                 1.2736,                 1.2828,                 1.4896,                 1.3753,                 1.4423,                  1.507,                0.72657,                0.67185,                0.71703,                0.42153,                 1.3556,                 1.0767,                 1.6572,                  1.453,                 1.1161,                 1.7068,               0.008713,               0.008713,               0.008713
                     16,                 1.2693,                 1.2481,                 1.4794,                 1.3657,                 1.3999,                 1.4974,                0.77307,                0.70174,                0.76274,                0.46017,                 1.2909,                 1.0704,                 1.5957,                 1.3834,                 1.0965,                 1.6385,               0.008614,               0.008614,               0.008614
                     17,                 1.2514,                 1.2183,                  1.463,                 1.3554,                 1.3647,                 1.4828,                 0.7952,                0.69986,                0.77996,                0.46378,                 1.3129,                0.97667,                 1.6116,                 1.4047,                 1.0106,                 1.6627,               0.008515,               0.008515,               0.008515
                     18,                 1.2482,                 1.2181,                 1.4621,                 1.3483,                 1.3608,                 1.4817,                0.79502,                0.71432,                 0.7737,                0.47539,                 1.2691,                 1.0275,                  1.561,                 1.3744,                 1.0266,                 1.6133,               0.008416,               0.008416,               0.008416
                     19,                 1.2262,                 1.1949,                 1.4499,                 1.3307,                 1.3365,                 1.4612,                0.78336,                0.72811,                0.79272,                 0.4825,                 1.2785,                0.98082,                   1.58,                 1.3562,                  1.007,                 1.6077,               0.008317,               0.008317,               0.008317
