                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3339,                 1.6302,                 1.5849,                 1.3457,                 2.5447,                 1.5442,                0.76851,                0.68816,                0.74603,                0.43507,                 1.3807,                 1.1228,                 1.7134,                 1.4186,                 1.2059,                 1.7139,              0.0033266,              0.0033266,              0.0033266
                      2,                 1.3736,                 1.2939,                 1.5723,                 1.4535,                 1.4938,                 1.5762,                0.62122,                0.41976,                0.46141,                0.22097,                 1.8958,                 1.8972,                 2.1931,                 1.8676,                  2.145,                 2.1128,               0.006594,               0.006594,               0.006594
                      3,                 1.4938,                 1.4445,                 1.6715,                 1.5959,                 1.6797,                 1.6911,                0.63331,                0.48897,                0.53507,                0.24491,                 1.7475,                 1.5925,                 2.0037,                 1.8135,                 1.8891,                 2.0345,              0.0097954,              0.0097954,              0.0097954
                      4,                 1.5591,                 1.5371,                 1.7017,                 1.6647,                 1.8087,                 1.7173,                 0.6044,                0.51927,                0.52981,                  0.246,                 1.7308,                 1.7253,                 2.0097,                 1.7664,                 2.1443,                 2.0368,               0.009703,               0.009703,               0.009703
                      5,                 1.5121,                 1.4469,                 1.6645,                 1.6086,                 1.6946,                 1.6745,                0.70611,                0.65452,                0.71115,                0.36172,                 1.5739,                  1.255,                 1.8541,                 1.6939,                 1.3211,                 1.9276,               0.009703,               0.009703,               0.009703
                      6,                 1.4768,                 1.3995,                 1.6466,                 1.5754,                 1.6178,                 1.6677,                 0.7422,                0.65973,                0.69458,                0.35738,                 1.5515,                 1.2672,                 1.8124,                 1.6589,                 1.3447,                 1.8559,               0.009604,               0.009604,               0.009604
                      7,                 1.4358,                 1.3351,                  1.611,                  1.534,                 1.5529,                 1.6258,                0.69112,                 0.6405,                0.69691,                0.38008,                 1.5111,                  1.229,                 1.7981,                 1.5678,                  1.381,                 1.8187,               0.009505,               0.009505,               0.009505
                      8,                 1.4075,                  1.283,                 1.5881,                 1.5007,                 1.4938,                 1.5964,                0.72475,                0.65505,                0.71316,                 0.3949,                 1.5192,                   1.22,                 1.7965,                 1.6215,                 1.3211,                 1.8418,               0.009406,               0.009406,               0.009406
                      9,                 1.3813,                 1.2731,                 1.5698,                 1.4946,                 1.4642,                 1.5893,                0.72793,                0.69184,                0.74568,                0.42603,                 1.4105,                 1.0894,                 1.7304,                 1.5104,                 1.1816,                 1.8003,               0.009307,               0.009307,               0.009307
                     10,                 1.3532,                 1.2345,                 1.5591,                 1.4646,                 1.4223,                 1.5772,                0.78956,                0.67571,                0.76346,                0.45174,                 1.3681,                 1.0218,                 1.6867,                  1.446,                 1.1128,                 1.7323,               0.009208,               0.009208,               0.009208
                     11,                 1.3444,                   1.21,                 1.5487,                 1.4463,                 1.3973,                 1.5575,                0.81068,                0.73441,                0.79665,                0.47015,                   1.39,                0.97943,                 1.6833,                 1.4722,                 1.0114,                 1.7223,               0.009109,               0.009109,               0.009109
                     12,                  1.326,                 1.1907,                 1.5358,                 1.4246,                 1.3512,                 1.5484,                0.81142,                 0.6905,                0.78029,                0.46937,                 1.3624,                0.98708,                  1.658,                 1.4585,                  1.041,                 1.7005,                0.00901,                0.00901,                0.00901
                     13,                 1.3247,                 1.1674,                 1.5247,                 1.4293,                 1.3362,                 1.5419,                0.80573,                0.71619,                0.79525,                0.48076,                 1.3702,                0.97973,                 1.6739,                 1.4293,                 1.0407,                 1.6757,               0.008911,               0.008911,               0.008911
                     14,                 1.2978,                 1.1493,                 1.5114,                 1.3982,                 1.3148,                 1.5278,                0.78555,                0.73721,                0.80619,                 0.4912,                 1.3538,                0.95853,                 1.6578,                 1.4102,                0.99046,                 1.6783,               0.008812,               0.008812,               0.008812
                     15,                 1.2882,                 1.1514,                 1.5084,                 1.3757,                 1.3294,                 1.5184,                0.79817,                0.66643,                0.77525,                0.46887,                 1.3477,                  0.997,                 1.6638,                 1.4287,                  1.077,                 1.6943,               0.008713,               0.008713,               0.008713
                     16,                 1.2758,                 1.1126,                 1.5016,                 1.3742,                 1.2784,                  1.516,                0.82004,                0.73861,                0.82759,                0.50338,                 1.3109,                0.92302,                 1.6169,                 1.4116,                0.91689,                 1.6528,               0.008614,               0.008614,               0.008614
                     17,                 1.2617,                 1.0936,                 1.4866,                 1.3583,                 1.2478,                 1.5036,                0.82854,                0.72469,                0.81554,                0.50121,                 1.3212,                0.91865,                 1.6228,                 1.3883,                0.96617,                 1.6564,               0.008515,               0.008515,               0.008515
                     18,                 1.2707,                 1.0947,                 1.4894,                 1.3693,                   1.24,                 1.5038,                0.79229,                0.72438,                 0.8022,                0.49669,                 1.2991,                0.95676,                 1.6133,                 1.3942,                0.99605,                 1.6521,               0.008416,               0.008416,               0.008416
                     19,                 1.2331,                 1.0828,                 1.4765,                 1.3361,                 1.2215,                 1.4915,                0.84696,                 0.7291,                0.83487,                0.52233,                 1.3034,                0.89058,                 1.6405,                 1.3819,                0.92362,                 1.6629,               0.008317,               0.008317,               0.008317
