epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8941280841827393,0.3391234874725342,1e-04,0.8225088715553284,0.5978595614433289
1,0.9812055230140686,0.061031315475702286,1e-04,0.9012455344200134,0.3700644075870514
2,0.9948843121528625,0.019444754347205162,1e-04,0.9421707987785339,0.24278101325035095
3,0.9966636896133423,0.015186113305389881,1e-04,0.9501779079437256,0.17682155966758728
4,0.9949955344200134,0.016059251502156258,1e-04,0.9541814923286438,0.2118002325296402
5,0.9819839596748352,0.05488443374633789,1e-04,0.8954626321792603,0.6050507426261902
6,0.9847642183303833,0.04415135830640793,1e-04,0.9483985900878906,0.21369339525699615
7,0.9891014099121094,0.030489368364214897,1e-04,0.9412811398506165,0.3183848261833191
8,0.9975534081459045,0.009032425470650196,1e-04,0.9372775554656982,0.3855431079864502
9,0.9976645708084106,0.00746527872979641,1e-04,0.9483985900878906,0.286080002784729
10,0.9978870153427124,0.006011466030031443,1e-04,0.939056932926178,0.32431697845458984
11,0.9996663928031921,0.002227907534688711,1e-04,0.9257117509841919,0.42817777395248413
12,0.9998887777328491,0.0007854097639210522,1e-04,0.9354982376098633,0.3197600245475769
13,1.0,0.00012881666771136224,1e-04,0.9363878965377808,0.3119105398654938
14,1.0,5.730891280109063e-05,1e-04,0.9372775554656982,0.3132210075855255
15,1.0,4.372414332465269e-05,1e-04,0.9377224445343018,0.3111328184604645
16,1.0,3.504583582980558e-05,1e-04,0.9377224445343018,0.3123210072517395
17,1.0,2.8751073841704056e-05,1e-04,0.9372775554656982,0.31525593996047974
18,1.0,2.3929462258820422e-05,1e-04,0.9372775554656982,0.31804725527763367
19,1.0,2.0218489225953817e-05,1e-04,0.9368327260017395,0.32065242528915405
20,1.0,1.712116863927804e-05,1e-04,0.9368327260017395,0.32103070616722107
21,1.0,1.4673348232463468e-05,1e-04,0.9368327260017395,0.32289594411849976
22,1.0,1.2553459782793652e-05,1e-04,0.9368327260017395,0.3260827660560608
23,1.0,1.0830439350684173e-05,1e-04,0.9368327260017395,0.33060696721076965
24,1.0,9.353474524687044e-06,1e-04,0.935943067073822,0.3341312110424042
