epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8817837834358215,0.34044504165649414,1e-04,0.7624555230140686,0.6488006711006165
1,0.9844306111335754,0.05214141681790352,1e-04,0.8082740306854248,0.5088470578193665
2,0.9965524673461914,0.00988773163408041,1e-04,0.8661032319068909,0.38265860080718994
3,0.9987766742706299,0.004122777841985226,1e-04,0.892793595790863,0.3188002109527588
4,0.9991103410720825,0.0020820549689233303,1e-04,0.9056939482688904,0.3018711805343628
5,0.9993327260017395,0.002306360052898526,1e-04,0.9185943007469177,0.2760513722896576
6,0.9996663928031921,0.000940352154430002,1e-04,0.9248220920562744,0.2783961296081543
7,0.9998887777328491,0.0004911435535177588,1e-04,0.9328292012214661,0.2574562728404999
8,1.0,0.00013189404853619635,1e-04,0.9412811398506165,0.23762089014053345
9,1.0,8.160512516042218e-05,1e-04,0.9475088715553284,0.23103134334087372
10,1.0,6.0848917200928554e-05,1e-04,0.9483985900878906,0.22612470388412476
11,1.0,4.7008972615003586e-05,1e-04,0.9501779079437256,0.22377640008926392
12,1.0,3.69754561688751e-05,1e-04,0.9506227970123291,0.22237567603588104
13,1.0,2.9624781745951623e-05,1e-04,0.9532918334007263,0.22124475240707397
14,1.0,2.399012737441808e-05,1e-04,0.9559608697891235,0.21915075182914734
15,1.0,1.96175642486196e-05,1e-04,0.9559608697891235,0.2183782160282135
16,1.0,1.6151585441548377e-05,1e-04,0.9577401876449585,0.2180134356021881
17,1.0,1.3370742635743227e-05,1e-04,0.956850528717041,0.21833644807338715
18,1.0,1.1130159691674635e-05,1e-04,0.9577401876449585,0.21855208277702332
19,1.0,9.286233762395568e-06,1e-04,0.9595195651054382,0.21907921135425568
20,1.0,7.784663466736674e-06,1e-04,0.959964394569397,0.21925291419029236
21,1.0,6.548450528498506e-06,1e-04,0.959964394569397,0.21964462101459503
22,1.0,5.526050699700136e-06,1e-04,0.9608541131019592,0.22050993144512177
23,1.0,4.661676939576864e-06,1e-04,0.961298942565918,0.22202521562576294
24,1.0,3.952148745156592e-06,1e-04,0.9621886014938354,0.22424979507923126
25,1.0,3.348253812873736e-06,1e-04,0.9630783200263977,0.22630111873149872
26,1.0,2.8425688469724264e-06,1e-04,0.9630783200263977,0.228566974401474
27,1.0,2.4130335987138096e-06,1e-04,0.9635231494903564,0.23116962611675262
28,1.0,2.0513755316642346e-06,1e-04,0.9639679789543152,0.23250679671764374
29,1.0,1.7455039369451697e-06,1e-04,0.9639679789543152,0.23529502749443054
30,1.0,1.4854496157568065e-06,1e-04,0.9653024673461914,0.23733091354370117
31,1.0,1.2603943559952313e-06,1e-04,0.9644128084182739,0.23992973566055298
32,1.0,1.076701664715074e-06,1e-04,0.9648576378822327,0.24255740642547607
33,1.0,9.17190334348561e-07,1e-04,0.9648576378822327,0.2451615035533905
34,1.0,7.807996098563308e-07,1e-04,0.9653024673461914,0.24901746213436127
35,1.0,6.662568807769276e-07,1e-04,0.9657473564147949,0.2534240782260895
36,1.0,5.682592245648266e-07,1e-04,0.9661921858787537,0.2573063373565674
37,1.0,4.846854722018179e-07,1e-04,0.9657473564147949,0.26123520731925964
38,1.0,4.12990203813024e-07,1e-04,0.9661921858787537,0.2651112675666809
39,1.0,3.5338555903763336e-07,1e-04,0.9661921858787537,0.26978734135627747
40,1.0,3.01204977404268e-07,1e-04,0.9661921858787537,0.2742265462875366
41,1.0,2.56660570130407e-07,1e-04,0.9661921858787537,0.2779639959335327
42,1.0,2.1890389234613394e-07,1e-04,0.9657473564147949,0.2832466661930084
43,1.0,1.875106931947812e-07,1e-04,0.9648576378822327,0.28759410977363586
44,1.0,1.5929924757074332e-07,1e-04,0.9653024673461914,0.29260221123695374
45,1.0,1.3490588912645762e-07,1e-04,0.9644128084182739,0.2977764308452606
46,1.0,1.1348215167572562e-07,1e-04,0.9653024673461914,0.3027710020542145
47,1.0,9.693709301927811e-08,1e-04,0.9639679789543152,0.30663585662841797
48,1.0,8.06041455803097e-08,1e-04,0.9639679789543152,0.31172722578048706
49,1.0,6.872564028981287e-08,1e-04,0.9639679789543152,0.3173774778842926
