epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9752001762390137,0.08714933693408966,1e-04,0.9830357432365417,0.06635898351669312
1,0.9830960631370544,0.061982523649930954,1e-04,0.987500011920929,0.0659857988357544
2,0.9876556992530823,0.04649192839860916,1e-04,0.9879464507102966,0.050994787365198135
3,0.9885453581809998,0.039113521575927734,1e-04,0.9906250238418579,0.06601782888174057
4,0.9901022911071777,0.03813449293375015,1e-04,0.9857142567634583,0.08277597278356552
5,0.9892126321792603,0.0373760424554348,1e-04,0.9897321462631226,0.05734318867325783
6,0.9916592240333557,0.027715442702174187,1e-05,0.9933035969734192,0.037451840937137604
7,0.9934386014938354,0.020174141973257065,1e-05,0.9924107193946838,0.036216724663972855
8,0.9944394826889038,0.018185708671808243,1e-05,0.9915178418159485,0.0332859605550766
9,0.9944394826889038,0.0167277529835701,1e-05,0.9933035969734192,0.02838410809636116
